"axis","pole_direction","pole_label","strength","source","question_text","source_pool_file"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 274 (reworded)","The more I learn about what someone is going through, the stronger my wish to help them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 277","As I work through the details of another person's difficulty, I care about what the experience is like for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 278 (reworded)","Wanting others to suffer less is a real motivation in my life.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 280","When I reason through a situation in which someone is suffering, easing their pain matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 283 (reworded)","Others' suffering matters to me whatever mood I am in.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 285","When I understand that someone has been hurt by unfair treatment, I care about the suffering it has caused them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 286 (reworded)","Understanding how a policy harms people makes me concerned for them, even if it does not affect me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","pr50-branch row 288 (reworded)","I am concerned about what the people around me are going through.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 290","As I consider evidence about someone's circumstances, the suffering involved has real weight for me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","moderate","pr50-branch row 299","When I consider people with competing needs, I care about the suffering each person is experiencing.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","pr50-branch row 300","When I notice that I have overlooked someone's hardship, I become concerned about what they are experiencing.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","When someone I love is in pain, I feel a strong wish to ease it.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","A stranger's visible distress makes me want to step in.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Hearing that someone has been badly hurt leaves me wanting to reach out to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","When someone tells me about a painful loss, I want to comfort them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","It is hard for me to stop thinking about someone who is suffering.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Someone's suffering stays on my mind until I know they are all right.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","When someone is hurting, I want their pain to end.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Even a stranger's serious suffering makes me want to see it relieved.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","I feel a strong wish to help when someone I know is struggling.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Another person's serious suffering weighs on me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Once I know that someone is in serious pain, their wellbeing matters a great deal to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Even after hearing only a brief account of someone's suffering, I care what happens to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Seeing someone I don't know in real trouble makes me care about their wellbeing.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","When people are suffering, I want things to get better for them, whether or not I know them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","When someone's hardship is severe, it matters to me even if I can do nothing about it.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","I wish I could relieve suffering I hear about, even when I have no means to.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","The suffering of the people close to me matters a great deal to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","strong","new","Learning that a person is suffering makes me want to know if there is anything that would help them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Other people's hardships tend to matter to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","When I hear that someone is having a hard time, I usually wish things would go better for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","I often find myself hoping that people I hear about who are struggling will be okay.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Most of the time, other people's suffering feels important to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Learning that someone has had bad news usually makes me want to reach out.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Other people's small hardships often matter to me too.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","I am somewhat more moved by other people's hardships than most people I know.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","When a friend is hurting, I usually want to help.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","A person's suffering sometimes stays with me after I have left them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Suffering among people whose lives are very different from mine still matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","When I hear about a group of people in serious trouble, I usually feel some concern for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","Reflecting on someone's difficulties often makes me wish I could ease them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","When someone is suffering, I hope things turn out well for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","empathy","Highly Empathic","mild","new","I often wish I could do something for people who are having a hard time.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Other people's hardships tend to matter little to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When someone shares a painful experience, the fact of their pain carries little weight in my mind.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","The suffering of people I don't know rarely seems important to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Hearing that someone is going through a hard time rarely changes how I think about my own day.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Someone's ongoing hardship rarely stays on my mind once I am no longer with them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Learning that people are suffering somewhere else seldom makes me care what happens to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Reading or hearing about people in pain usually leaves me without much concern for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When someone is in pain, I rarely feel a wish to make it better.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Knowing that a person is struggling seldom makes me want to do anything about it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When I understand why someone is suffering, I still rarely want their situation to change.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","I seldom feel pulled to respond when someone around me is having a hard time.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","When someone shares a struggle with me, I tend to treat it as information rather than as something that calls for a response.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","I rarely feel drawn to check in on people who are having a hard time.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","When I learn that someone I know is going through a difficult time, my first instinct is rarely to consider how I might help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","When I see that someone is suffering, it usually makes no difference to what I want to do next.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Even when I clearly understand another person's hardship, their wellbeing rarely becomes more important to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Thinking through someone's difficulties rarely makes me care about them more.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Statistics or reports about people's suffering leave me with little concern for the people involved.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Hearing that a problem harms many people rarely makes me want their suffering reduced.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even when someone's pain is vivid and immediate, I feel little wish to ease it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When someone near me is visibly upset, I rarely feel any urge to comfort or help them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","A person's hardship stops mattering to me soon after I hear about it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Once I stop hearing about a person's troubles, I stop thinking about their wellbeing.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Suffering among people outside my own circle rarely concerns me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","I feel little concern for the wellbeing of people I will never meet.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","A stranger's hardship rarely matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Other people's suffering is mostly their concern, not mine.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When several people need help, none of their situations weighs on me much.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","I am often less concerned about other people's troubles than the people around me are.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Other people's pain seldom feels like something that requires a response from me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When I see someone crying, I rarely feel any wish to help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even when someone I am with is clearly in distress, their pain leaves me largely unmoved.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","A stranger's obvious anguish in front of me rarely makes me want to step in.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When someone tells me about something painful that happened to them, I rarely feel any pull to comfort them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Being close to someone's suffering rarely makes it matter more to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Someone's tears or visible distress rarely change what I want to do.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When a friend is in real pain, I often feel little wish to relieve it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Watching a person suffer usually stirs no wish in me to ease their suffering.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even when I am convinced that someone is being harmed, I feel little wish to see it stop.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Learning that suffering could easily be prevented seldom makes me want it prevented.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When I understand that a person's pain is serious, that fact alone rarely makes me want to help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","I don't see other people's private suffering as something I need to be concerned about.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even after hearing exactly what a person has endured, I feel little concern about what happens to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Evidence of preventable harm to others seldom makes me want to do anything about it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When I recognize that someone could be seriously hurt, preventing that harm rarely matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Once a hard moment for someone has passed, I rarely give their wellbeing another thought.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Someone's continuing hardship rarely matters to me once the news is old.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","A friend's ongoing struggle rarely weighs on me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","The suffering of people I see as outside my group rarely concerns me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","I feel little concern for suffering in places I have never been.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","The hardships of people I have no connection to carry little weight for me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Most of the time, other people's suffering does not feel important to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Others' pain rarely feels like it matters to me, even when I know them well.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","I seldom find myself concerned about how another person's difficulties will turn out.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When a person I know is struggling, I rarely feel a wish to be of help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even when I know I could easily help someone in pain, I feel little wish to.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Others' need for help seldom gives me a reason to want to act.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When someone asks for my support in a hard time, I usually feel little wish to give it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Hearing about a crisis affecting others seldom leaves me wanting anything to change for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Wanting someone else's suffering to ease is rarely part of how I respond to their situation.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When someone I love is going through something painful, I feel little wish to ease it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Another person's pain rarely feels real enough to matter to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Someone's serious suffering leaves me with little concern for what happens to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When a stranger is in visible distress, I feel little wish to help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","I feel little concern when I hear that someone has been badly hurt.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","However serious someone's suffering is, it seldom makes me want to do anything.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even when someone I know is suffering deeply, I feel little concern about what happens to them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Someone else's grief rarely makes me want to comfort them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Hearing that someone has died or been badly hurt leaves me with little wish to reach out.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Someone's pain stops mattering to me almost as soon as I stop seeing it.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","I forget about other people's suffering as soon as I have something else to think about.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Wanting someone else's suffering to ease rarely crosses my mind.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Even after hearing the whole story of what a person has endured, I feel little wish to help them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When suffering is described in vivid detail, it still carries little weight for me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Learning about serious harm to people far away leaves me with little wish to see it end.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","When a coworker or neighbor is struggling, I feel little wish to help them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Knowing that someone will keep suffering rarely bothers me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","strong","new","Someone else's suffering rarely makes me want anything at all for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Other people's problems only occasionally seem to matter to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Others' suffering sometimes fails to register as something that matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Others' hardships sometimes leave me without much wish to help.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","When a friend is hurting, my wish to help is often weaker than I expect it to be.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Someone's suffering usually has to be severe before it matters to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Hearing that someone has had bad news usually doesn't make me want to reach out.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","Small hardships in other people's lives rarely matter to me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","mild","new","I am somewhat less moved by other people's hardships than most people I know.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Suffering among people whose lives are very different from mine carries little weight for me.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","Reflecting on someone's difficulties rarely makes me feel any wish to ease them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","When I hear about a group of people in serious trouble, I seldom feel any concern for them.","axis1-empathy-detachment.json"
"Empathy–Detachment","detachment","Detached / Analytical","moderate","new","A person's suffering rarely changes what I hope will happen for them.","axis1-empathy-detachment.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 18","When I have extra money, my first thought is who else could use it.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 307","I tend to craft my daily schedule around what the people in my life need from me.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 398","I would spend my sabbatical working on behalf of a community project rather than resting.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 23","I often cancel my own plans to help a friend, colleague, or family member.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 69","I routinely pick up tasks no one else wants to do, so the group can function well.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 35","I tend to work extra hours not for my own advancement, but to lighten the load for my team.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 7","When resources are scarce, I instinctively direct them toward other people first.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 438","I tend to fill gaps in any group without being asked—whatever is missing, I provide.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 50","I find it natural to defer my own interests when group needs arise.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 354","I tend to take on the overnight shift or the early morning slot so others can have the easier schedule.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 80","I routinely turn down personal opportunities if they would take me away from people who rely on me.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 62","I feel a responsibility to contribute more than my fair share.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 27","I prefer to let others take credit even when I did most of the work.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 410","I tend to choose the harder path if it clears the way for someone else.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 405","I would use my professional influence to open doors for others rather than to advance my own agenda.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 67","I tend to allocate the majority of my time to tasks that benefit other people.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 42","I routinely choose the option that benefits others, even when a different choice would benefit me more.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 87","I find deep contentment in giving away things I worked hard to earn.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 39","I find purpose in being the one who shoulders the burden so others don't have to.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 9","I would rather go without something I want so that someone else can have what they need.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 115","I tend to spend my weekends doing things for other people rather than pursuing my own hobbies.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 2","I find deep satisfaction in making personal sacrifices for the benefit of my community.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 64","I would work a job I dislike if it meant my family or community benefited greatly.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 21","I tend to donate or share resources before setting aside savings for myself.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 340","I tend to put others' comfort ahead of efficiency when the two conflict.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 16","I would postpone my own goals indefinitely if someone close to me needed my help.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 417","I tend to respond to every request for help before attending to my own inbox.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 53","I often forgo recognition so that others can be acknowledged instead.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 83","I tend to go without rest to make sure the people around me are supported.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","mild","baseline row 389","I tend to share my food, my space, and my belongings without a second thought.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 321","I routinely offer to drive others to appointments, even when it disrupts my own plans.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 106","I would decline an award or honor and redirect attention to the team.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 99","I tend to measure my worth by how much I've contributed to others, not by what I've accumulated.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 351","I routinely absorb extra costs in group situations so others pay less.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 116","I feel a deep sense of duty to use everything I have in service of others.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 310","I would choose a lower-paying role that lets me serve my community over a higher-paying one that does not.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 127","I would give up a cherished personal goal if doing so served a greater collective need.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 337","I routinely check in on neighbors, acquaintances, and distant friends to make sure they are okay.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 315","I would skip my own vacation to cover for a coworker dealing with a family crisis.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 342","I would forgo a hobby I love if the time could be better spent helping my community.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 101","I routinely put my health second to the needs of those who depend on me.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 305","I instinctively offer my seat, my place in line, or my turn to someone else.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 356","I would trade a comfortable retirement for the chance to fund someone else's education.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 138","I would happily take a pay cut if it meant funding a cause I care about.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 330","I routinely spend my lunch break helping others with their tasks instead of resting.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 311","I routinely stay late to help a colleague finish their work, even when mine is already done.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 90","I routinely accept the worst option for myself so that others can have the better one.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 326","I would downsize my own living situation to free up resources for people who need help.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 114","I find it genuinely easier to give than to receive.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 358","I routinely carry extra supplies, snacks, or resources in case someone around me needs them.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 132","I routinely lend my possessions and rarely ask for them back.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 334","I would take on a second job to support a family member's dream.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 344","I routinely proofread, edit, or review other people's work without being asked.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 125","I tend to choose careers and projects based on how much they allow me to help others.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 150","I find that the thought of others benefiting from my effort is the strongest motivation I know.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 363","I would relocate to be closer to someone who needs my daily support.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 365","I routinely translate, explain, or simplify information so others can access it.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 122","I routinely make financial sacrifices to support people in my life.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 119","I find that deflecting praise and redirecting it to others feels natural and right.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","moderate","baseline row 108","I find that working behind the scenes for others' benefit is more satisfying than being in the spotlight.","axis2-self-orientation.json"
"Self-Orientation","altruism","Altruistic / Self-Transcendent","strong","baseline row 412","I would trade personal recognition for the satisfaction of knowing my efforts lifted the team.","axis2-self-orientation.json"
